Indigo Taxonomy ID,Indigo Taxonomy,Google Taxonomy,
828849-528231,Baby > Art and Architecture,Media > Books > Non-Fiction > Architecture Books,
828849-528231-528254,Baby > Art and Architecture > Art History,Media > Books > Non-Fiction > Architecture Books,
828849-528231-528257,Baby > Art and Architecture > General Art,Media > Books > Non-Fiction > Art Books,
828849-528231-528257-529669,Baby > Art and Architecture > General Art > Art History,Media > Books > Non-Fiction > Art Books,
828849-528231-528257-529670,Baby > Art and Architecture > General Art > Art Technique,Media > Books > Non-Fiction > Art Books,
828849-528231-528257-529673,Baby > Art and Architecture > General Art > Colour,Media > Books > Non-Fiction > Art Books,
828849-528231-528257-529678,Baby > Art and Architecture > General Art > Graphic Art and Design,Media > Books > Non-Fiction > Art Books,
828849-528231-528441,Baby > Art and Architecture > Graphic Art and Design,Media > Books > Non-Fiction > Art Books,
828849-528231-528258,Baby > Art and Architecture > Photography,Media > Books > Non-Fiction > Photography Books,
828849-500009,Baby > Baby's Closet,Apparel & Accessories > Clothing > Baby & Toddler Clothing,
828849-500009-502058,Baby > Baby's Closet > Accessories,Apparel & Accessories > Clothing Accessories > Baby & Toddler Clothing Accessories,
828849-500009-502056,Baby > Baby's Closet > Onesies & Sleepers,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby Onesies,
828849-500009-502057,Baby > Baby's Closet > Shoes,Apparel & Accessories > Shoes > Baby & Toddler Shoes,
828849-500014,Baby > Bath,Baby & Toddler > Baby Bathing,
828849-500014-502087,Baby > Bath > Baby Baths,Baby & Toddler > Baby Bathing,
828849-500014-502085,Baby > Bath > Baby Skincare,Baby & Toddler > Baby Health > Baby Health & Grooming Kits,
828849-500014-502086,Baby > Bath > Bath Toys,Baby & Toddler > Baby Bathing,
828849-500014-502084,Baby > Bath > Towels & Wash Sets,Baby & Toddler > Baby Bathing,
828849-528233,Baby > Biography and Memoir,Media > Books > Non-Fiction > Biographies,
828849-528237,Baby > Entertainment,Media > Music,
828849-528237-528309,Baby > Entertainment > Music,Media > Music,
828849-528237-528309-529323,Baby > Entertainment > Music > Music Styles,Media > Music,
828849-528237-528309-529326,Baby > Entertainment > Music > Songbooks,Media > Sheet Music,
828849-528237-528310,Baby > Entertainment > Performing Arts,Media > Books > Non-Fiction > Performing Arts Books,
828849-528237-528312,Baby > Entertainment > Theatre,Media > Books > Non-Fiction > Performing Arts Books,
828849-528238,Baby > Family and Relationships,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528466,Baby > Family and Relationships > Babies and Toddlers,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528466-529354,Baby > Family and Relationships > Babies and Toddlers > Baby Names,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528466-529356,Baby > Family and Relationships > Babies and Toddlers > Infants and Toddlers,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528466-529358,Baby > Family and Relationships > Babies and Toddlers > Toilet Training,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528318,Baby > Family and Relationships > Parenting,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528318-529370,Baby > Family and Relationships > Parenting > Child Care,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528318-529372,Baby > Family and Relationships > Parenting > Emotions,Media > Books > Non-Fiction > Family Relationship Books,
828849-528238-528319,Baby > Family and Relationships > Pregnancy and Childbirth,Media > Books > Non-Fiction > Family Relationship Books,
828849-500017,Baby > Feeding & Infant Care,Baby & Toddler > Nursing & Feeding,
828849-500017-502104,Baby > Feeding & Infant Care > Bottle Bags & Coolers,Baby & Toddler > Nursing & Feeding,
828849-500017-502105,Baby > Feeding & Infant Care > Bottles & Sippy Cups,Baby & Toddler > Nursing & Feeding,
828849-500017-502103,Baby > Feeding & Infant Care > Dishware,Baby & Toddler > Nursing & Feeding,
828849-500017-502106,Baby > Feeding & Infant Care > Food Storage,Baby & Toddler > Nursing & Feeding,
828849-500017-502107,Baby > Feeding & Infant Care > Infant Care,Baby & Toddler > Nursing & Feeding,
828849-500017-502102,Baby > Feeding & Infant Care > Pacifiers,Baby & Toddler > Baby Health > Pacifiers & Teethers,
828849-528239,Baby > Fiction and Literature,Media > Books > Fiction > Literature,
828849-528239-528470,Baby > Fiction and Literature > Fiction,Media > Books > Fiction,
828849-528239-528470-529398,Baby > Fiction and Literature > Fiction > Anthologies,Media > Books > Fiction,
828849-528239-528470-529401,Baby > Fiction and Literature > Fiction > Fairy Tales and Folklore,Media > Books > Fiction > Children's Books,
828849-528239-528470-529401-530322,Baby > Fiction and Literature > Fiction > Fairy Tales and Folklore > Fairy Tales,Media > Books > Fiction > Children's Books,
828849-528239-528470-529401-530323,Baby > Fiction and Literature > Fiction > Fairy Tales and Folklore > Foklore,Media > Books > Fiction > Children's Books,
828849-528239-528470-529405,Baby > Fiction and Literature > Fiction > Graphic Novels,Media > Books > Fiction > Comics,
828849-528240,Baby > Food and Drink,Baby & Toddler > Nursing & Feeding,
828849-500015,Baby > For Mom,Baby & Toddler,
828849-500015-502091,Baby > For Mom > Carriers__ Wraps & Nursing Gear,Baby & Toddler > Nursing & Feeding,
828849-500015-502090,Baby > For Mom > Diaper Bags & Accessories,Baby & Toddler > Diapering > Diaper Organizers,
828849-500015-502093,Baby > For Mom > Gifts,Baby & Toddler,
828849-528241,Baby > Health and Well Being,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528344,Baby > Health and Well Being > Health,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528345,Baby > Health and Well Being > Medical,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528345-530414,Baby > Health and Well Being > Medical > Anatomy,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528345-530425,Baby > Health and Well Being > Medical > Physiology,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528346,Baby > Health and Well Being > Psychology,Media > Books > Non-Fiction > Health & Fitness Books,
828849-528241-528347,Baby > Health and Well Being > Self Help,Media > Books > Non-Fiction > Self Help Books,
828849-528243,Baby > Home and Garden,Media > Books > Non-Fiction > Gardening Books,
828849-528243-528368,Baby > Home and Garden > Pets,Media > Books > Non-Fiction > Pet Books,
828849-528243-528368-528729,Baby > Home and Garden > Pets > Cats,Media > Books > Non-Fiction > Pet Books,
828849-528243-528368-528730,Baby > Home and Garden > Pets > Dogs,Media > Books > Non-Fiction > Pet Books,
828849-500011,Baby > Keepsakes,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502066,Baby > Keepsakes > Bookends,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502064,Baby > Keepsakes > Coin Banks & Trinket Boxes,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502068,Baby > Keepsakes > Dish Sets,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502065,Baby > Keepsakes > Frames,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502067,Baby > Keepsakes > Growth Charts,Baby & Toddler > Baby & Toddler Gift Sets,
828849-500011-502063,Baby > Keepsakes > Memory Books,Baby & Toddler > Baby & Toddler Gift Sets,
828849-528244,Baby > Mystery and Suspense,Media > Books > Fiction > Mystery Novels,
828849-500012,Baby > Nursery,Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories,
828849-500012-502071,Baby > Nursery > Bedding,Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories,
828849-500012-502072,Baby > Nursery > Mobiles,Baby & Toddler > Baby Toys > Baby Mobiles,
828849-500012-502074,Baby > Nursery > Storage,Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories,
828849-500012-502073,Baby > Nursery > Wall Art,Baby & Toddler > Baby & Toddler Gift Sets,
828849-528245,Baby > Reference and Language,Media > Books > Non-Fiction > Reference Books,
828849-528245-528378,Baby > Reference and Language > Dictionaries,Media > Books > Non-Fiction > Reference Books,
828849-528245-528380,Baby > Reference and Language > Foreign Languages,Media > Books > Non-Fiction > Education Books > Foreign Language Books,
828849-528245-528382,Baby > Reference and Language > Language Arts,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528794,Baby > Reference and Language > Language Arts > Alphabet,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528797,Baby > Reference and Language > Language Arts > Grammar,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528804,Baby > Reference and Language > Language Arts > Reading,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528804-530623,Baby > Reference and Language > Language Arts > Reading > Readers,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528804-530625,Baby > Reference and Language > Language Arts > Reading > Vocabulary,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528382-528809,Baby > Reference and Language > Language Arts > Writing and Publishing,Media > Books > Non-Fiction > Language Arts Books,
828849-528245-528384,Baby > Reference and Language > Reference,Media > Books > Non-Fiction > Reference Books,
828849-528245-528386,Baby > Reference and Language > Thesauri,Media > Books > Non-Fiction > Reference Books,
828849-528245-528387,Baby > Reference and Language > Transportation,Media > Books > Non-Fiction > Transportation Books,
828849-528245-528387-528931,Baby > Reference and Language > Transportation > Automotive,Media > Books > Non-Fiction > Transportation Books,
828849-528245-528387-528932,Baby > Reference and Language > Transportation > Aviation,Media > Books > Non-Fiction > Transportation Books,
828849-528245-528387-528935,Baby > Reference and Language > Transportation > Railroads,Media > Books > Non-Fiction > Transportation Books,
828849-528245-528387-528937,Baby > Reference and Language > Transportation > Ships and Shipbuilding,Media > Books > Non-Fiction > Transportation Books,
828849-528246,Baby > Religion and Spirituality,Media > Books > Non-Fiction > Religion Books,
828849-528246-528389,Baby > Religion and Spirituality > Bible and Bible Studies,Media > Books > Non-Fiction > Religion Books,
828849-528246-528389-528947,Baby > Religion and Spirituality > Bible and Bible Studies > Old Testament,Media > Books > Non-Fiction > Religion Books,
828849-528246-528389-528949,Baby > Religion and Spirituality > Bible and Bible Studies > Quotations,Media > Books > Non-Fiction > Religion Books,
828849-528246-528389-528950,Baby > Religion and Spirituality > Bible and Bible Studies > Reference,Media > Books > Non-Fiction > Religion Books,
828849-528246-528389-528951,Baby > Religion and Spirituality > Bible and Bible Studies > Stories,Media > Books > Non-Fiction > Religion Books,
828849-528248,Baby > Science and Nature,Media > Books > Non-Fiction > Science Books,
828849-528248-528482,Baby > Science and Nature > Mathematics,Media > Books > Non-Fiction > Math Books,
828849-528248-528482-529078,Baby > Science and Nature > Mathematics > Arithmetic,Media > Books > Non-Fiction > Math Books,
828849-528248-528482-529082,Baby > Science and Nature > Mathematics > Counting and Numeration,Media > Books > Non-Fiction > Math Books,
828849-528248-528482-529089,Baby > Science and Nature > Mathematics > Geometry,Media > Books > Non-Fiction > Math Books,
828849-528248-528482-529100,Baby > Science and Nature > Mathematics > Number Theory,Media > Books > Non-Fiction > Math Books,
828849-528248-528483,Baby > Science and Nature > Nature,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529113,Baby > Science and Nature > Nature > Animals,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529113-530129,Baby > Science and Nature > Nature > Animals > Birds and Birdwatching,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529113-530131,Baby > Science and Nature > Nature > Animals > Dinosaurs,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529115,Baby > Science and Nature > Nature > Fish and Ocean Life,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529118,Baby > Science and Nature > Nature > Pets,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528483-529120,Baby > Science and Nature > Nature > Reptiles and Amphibians,Media > Books > Non-Fiction > Animal & Nature Books,
828849-528248-528398,Baby > Science and Nature > Pets,Media > Books > Non-Fiction > Pet Books,
828849-528248-528398-529125,Baby > Science and Nature > Pets > Cats,Media > Books > Non-Fiction > Pet Books,
828849-528248-528398-529126,Baby > Science and Nature > Pets > Dogs,Media > Books > Non-Fiction > Pet Books,
828849-528248-528491,Baby > Science and Nature > Science,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529132,Baby > Science and Nature > Science > Biological Sciences,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529132-530164,Baby > Science and Nature > Science > Biological Sciences > Biology,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529132-530167,Baby > Science and Nature > Science > Biological Sciences > Botany,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529132-530178,Baby > Science and Nature > Science > Biological Sciences > Human Physiology,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529132-530182,Baby > Science and Nature > Science > Biological Sciences > Physiology,Media > Books > Non-Fiction > Science Books,
828849-528248-528491-529136,Baby > Science and Nature > Science > Physics,Media > Books > Non-Fiction > Science Books,
828849-528248-528484,Baby > Science and Nature > Technology,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-529137,Baby > Science and Nature > Technology > Acoustics and Sound,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-529138,Baby > Science and Nature > Technology > Aeronautics and Astronautics,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-529139,Baby > Science and Nature > Technology > Agriculture and Animal Husbandry,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-528497,Baby > Science and Nature > Technology > Engineering,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-528500,Baby > Science and Nature > Technology > Fire Science,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-528512,Baby > Science and Nature > Technology > Machinery,Media > Books > Non-Fiction > Technology Books,
828849-528248-528484-528515,Baby > Science and Nature > Technology > Mensuration,Media > Books > Non-Fiction > Technology Books,
828849-528249,Baby > Science Fiction and Fantasy,Media > Books > Fiction > Science Fiction & Fantasy Novels,
828849-528249-528399,Baby > Science Fiction and Fantasy > Fantasy,Media > Books > Fiction > Science Fiction & Fantasy Novels,
828849-528249-528400,Baby > Science Fiction and Fantasy > Graphic Novels,Media > Books > Fiction > Science Fiction & Fantasy Novels,
828849-500013,Baby > Sleep,Baby & Toddler > Baby Health,
828849-500013-502080,Baby > Sleep > Security Blankets,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby Sleepwear & Swaddlers,
828849-500013-502078,Baby > Sleep > Sleep Sacks,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby Sleepwear & Swaddlers,
828849-500013-502079,Baby > Sleep > Sound Machines,Baby & Toddler > Baby Health,
828849-500013-502077,Baby > Sleep > Swaddle Blankets,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby Sleepwear & Swaddlers,
828849-528250,Baby > Social and Cultural Studies,Media > Books > Non-Fiction > Social Science Books,
828849-528250-530295,Baby > Social and Cultural Studies > Ethnic Studies,Media > Books > Non-Fiction > Social Science Books,
828849-528250-530298,Baby > Social and Cultural Studies > Minority Studies,Media > Books > Non-Fiction > Social Science Books,
828849-528251,Baby > Sports and Fitness,Media > Books > Non-Fiction > Sports Books,
828849-528251-528414,Baby > Sports and Fitness > Golf,Media > Books > Non-Fiction > Sports Books,
828849-528251-528427,Baby > Sports and Fitness > Water Sports,Media > Books > Non-Fiction > Sports Books,
828849-500016,Baby > Toys,Baby & Toddler > Baby Toys,
828849-500016-502096,Baby > Toys > Plush,Baby & Toddler > Baby Toys,
828849-500016-502099,Baby > Toys > Ride Ons & Push Toys,Baby & Toddler > Baby Toys,
828849-500016-502097,Baby > Toys > Sensory Toys,Baby & Toddler > Baby Toys,
828849-500016-502098,Baby > Toys > Teething Toys,Baby & Toddler > Baby Health > Pacifiers & Teethers,
828850-528231,Books > Art and Architecture,Media > Books > Non-Fiction,
828850-528231-528253,Books > Art and Architecture > Architecture,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529637,Books > Art and Architecture > Architecture > Architectural Photography,Media > Books > Non-Fiction > Architecture Books,
